"#",PROG CODE,INSTITUTION NAME,PROGRAMME NAME,2015 CUTOFF,2016 CUTOFF,2017 CUTOFF,2018 CUTOFF,2019 CUTOFF,2020 CUTOFF,2021 CUTOFF
BACHELOR OF ARTS,,,,,,,,,,
12,1166107,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),33.67,33.331,28.757,28.373,25.294,20.048,20.1
13,1170107,MACHAKOS UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),-,-,26.395,31.004,31.077,24.727,-
14,1240107,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),38.9,37.543,33.766,26.665,28.007,24.404,20.1
15,1253107,MOI UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),42.466,42.055,39.424,39.031,38.075,35.689,33.425
16,1263107,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),44.88,43.777,41.516,41.848,41.816,38.514,40.134
17,1061107,KABARAK UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,-,-,28.594,32.779,33.927,33.47,24.496
18,1079107,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,-,26.145,30.196,24.377,25.729,23.532,20.1
19,1080107,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,-,-,-,-,-,23.958,26.383
20,1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,39.872,39.421,35.161,35.258,32.578,28.517,29.666
21,1162107,DAYSTAR UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,31.064,36.404,37.585,33.778,35.13,26.929,27.913
22,1164107,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,40.758,40.039,35.816,36.678,36.283,31.782,31.618
23,1173107,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,41.071,38.32,36.156,35.774,33.396,32.505,30.427
24,1244107,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,37.456,37.066,29.859,30.631,28.875,23.994,20.1
25,1246107,MURANGA UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,-,24.21,30.556,29.76,26.093,22.509,20.1
26,1249107,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,43.073,42.604,39.52,40.06,39.735,36.119,37.145
27,1279107,MOUNT KENYA UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,28.94,30.732,32.415,33.051,32.162,30.098,31.88
28,1425107,ZETECH UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,-,-,-,-,-,-,20.1
29,1480107,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,29.52,31.375,32.582,30.837,31.753,25.177,22.92
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",,,,,,,,,,
1,1229108,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",38.8,37.253,33.692,33.424,32.442,25.681,16.787
2,1515108,TOM MBOYA UNIVERSITY COLLEGE,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",-,-,-,25.271,24.09,16.9,16.787
3,1082108,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),35.082,35.157,32.982,32.653,30.745,27.525,16.787
4,1087108,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),34.653,30.262,31.081,25.101,24.846,16.9,16.787
5,1093108,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),34.771,23.928,24.01,23.784,23.501,16.9,16.787
6,1117108,PWANI UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),36.44,31.867,33.571,30.549,28.396,24.333,16.787
7,1246108,MURANGA UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),-,-,25.862,26.922,26.141,16.9,16.787
8,1263108,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),41.916,40.185,38.28,37.695,38.218,32.052,33.535
9,1279108,MOUNT KENYA UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),-,24.103,26.595,28.604,24.916,24.359,16.787
10,1091108,TAITA TAVETA UNIVERSITY,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,-,-,-,25.683,25.974,16.9,16.787
11,1105108,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,-,-,-,27.535,29.977,26.089,16.787
12,1164108,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,39.86,35.421,34.837,31.004,32.133,27.464,16.787
13,1173108,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,38.764,33.985,34.277,31.042,31.551,25.925,16.787
14,1249108,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,41.346,38.86,36.619,36.192,34.268,32.013,25.786
"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",,,,,,,,,,
1,1229109,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",35.82,32.623,32.977,30.469,32.888,28.604,27.259
2,1515109,TOM MBOYA UNIVERSITY COLLEGE,"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",-,-,-,23.753,23.835,20.048,20.1
3,1073109,RONGO UNIVERSITY,BACHELOR OF SCIENCE (MATHEMATICS),30.282,25.271,24.448,24.494,23.755,20.048,20.1
4,1082109,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (MATHEMATICS),-,-,-,-,-,-,-
5,1096109,GARISSA UNIVERSITY,BACHELOR OF SCIENCE (MATHEMATICS),23,-,-,24.212,-,-,-
