"#",PROG CODE,INSTITUTION NAME,PROGRAMME NAME,2015 CUTOFF,2016 CUTOFF,2017 CUTOFF,2018 CUTOFF,2019 CUTOFF,2020 CUTOFF,2021 CUTOFF
BACHELOR OF ARTS,,,,,,,,,,
14,1181153,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR IN BUSINESS ADMINISTRATION IN MARKETING,23,24.534,-,24.735,25,22.361,22.544
BACHELOR OF BUSINESS AND OFFICE MANAGEMENT,,,,,,,,,,
1,1063154,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF BUSINESS AND OFFICE MANAGEMENT,34.21,26.382,25.322,24.537,23.313,24.228,22.544
2,1181154,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS ADMINISTRATION IN OFFICE ADMINISTRATION,-,-,-,24.776,24.759,22.361,22.544
"BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT)",,,,,,,,,,
1,1053155,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,"BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT)",-,29.097,-,25.052,27.257,31.344,22.636
2,1229155,MASENO UNIVERSITY,"BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT)",-,32.836,26.973,24.364,30.563,32.617,29.942
3,1515155,TOM MBOYA UNIVERSITY COLLEGE,"BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT)",-,22.567,-,24.819,24.657,24.694,22.636
4,1077155,KENYA METHODIST UNIVERSITY,BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION),-,-,-,26.561,24.675,24.341,22.636
5,1087155,KISII UNIVERSITY,BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION),-,-,-,24.774,25.81,30.132,22.636
6,1111155,KENYATTA UNIVERSITY,BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION),-,35.375,-,32.322,35.35,36.14,36.418
7,1114155,UNIVERSITY OF ELDORET,BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION),34.059,31.164,-,24.533,29.48,31.152,25.725
8,1117155,PWANI UNIVERSITY,BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION),-,29.751,-,25.31,24.774,31.246,28.217
9,1700155,BOMET UNIVERSITY COLLEGE,BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION),-,-,-,-,24.702,24.845,22.636
10,1073155,RONGO UNIVERSITY,BACHELOR OF EDUCATION IN SPECIAL EDUCATION,32.272,25.627,-,25.453,26.588,27.545,22.636
11,1078155,AFRICA NAZARENE UNIVERSITY,BACHELOR OF EDUCATION IN SPECIAL EDUCATION,30.701,-,-,-,-,-,-
12,1170155,MACHAKOS UNIVERSITY,BACHELOR OF EDUCATION IN SPECIAL EDUCATION,32.358,28.437,-,25.843,26.661,29.795,22.636
13,1107155,ST PAULS UNIVERSITY,BACHELOR OF EDUCATION IN SPECIAL NEEDS EDUCATION,30.194,26.551,-,25.987,25.407,25.816,22.636
BACHELOR OF EDUCATION (ARTS) WITH SPECIAL NEEDS EDUCATION,,,,,,,,,,
1,1165156,MAASAI MARA UNIVERSITY,BACHELOR OF EDUCATION (ARTS) WITH SPECIAL NEEDS EDUCATION,31.185,27.476,27.662,25.954,25.213,25.443,22.636
2,1244156,KARATINA UNIVERSITY,BACHELOR OF EDUCATION (ARTS) WITH SPECIAL NEEDS EDUCATION,-,-,-,-,-,25.357,22.636
BACHELOR OF SCIENCE (TOURISM MANAGEMENT),,,,,,,,,,
1,1117157,PWANI UNIVERSITY,BACHELOR OF SCIENCE (TOURISM MANAGEMENT),32.256,26.814,25.566,24.642,-,-,-
2,1246157,MURANGA UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE (TOURISM MANAGEMENT),23,25.026,24.915,24.743,24.829,22.361,22.544
3,1063157,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF SCIENCE IN TOURISM MANAGEMENT,29.601,26.668,24.367,24.587,24.636,22.361,27.029
4,1600157,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE IN TOURISM MANAGEMENT,-,-,-,-,-,-,22.544
5,1073157,RONGO UNIVERSITY,BACHELOR OF TOURISM MANAGEMENT,27.686,26.234,-,24.418,24.749,22.361,22.544
6,1105222,CHUKA UNIVERSITY,BACHELOR OF TOURISM MANAGEMENT,32.131,26.939,25.374,24.443,24.821,22.361,25.712
7,1114157,UNIVERSITY OF ELDORET,BACHELOR OF TOURISM MANAGEMENT,27.827,26.001,25.067,24.536,24.495,22.361,25.445
8,1118157,UNIVERSITY OF KABIANGA,BACHELOR OF TOURISM MANAGEMENT,28.995,26.307,-,25.394,24.516,22.361,23.031
9,1165157,MAASAI MARA UNIVERSITY,BACHELOR OF TOURISM MANAGEMENT,30.954,26.373,25.141,25.244,25.297,22.361,25.744
10,1244157,KARATINA UNIVERSITY,BACHELOR OF TOURISM MANAGEMENT,27.518,24.307,-,24.625,24.892,22.361,23.763
11,1253157,MOI UNIVERSITY,BACHELOR OF TOURISM MANAGEMENT,35.499,29.097,28.915,25.469,27.085,22.361,25.815
12,1685157,THARAKA UNIVERSITY COLLEGE,BACHELOR OF TOURISM MANAGEMENT,-,-,-,-,25.255,-,-
13,1112157,TECHNICAL UNIVERSITY OF KENYA,BACHELOR OF TECHNOLOGY (TOURISM MANAGEMENT),36.721,31.554,31.081,28.637,32.337,28.484,30.119
BACHELOR OF INFORMATION COMMUNICATION TECHNOLOGY,,,,,,,,,,
1,1090158,SCOTT CHRISTIAN UNIVERSITY,BACHELOR OF INFORMATION COMMUNICATION TECHNOLOGY,23,25.213,-,23.602,22.935,19.481,19.223
2,1053158,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (INFORMATION AND COMMUNICATION TECHNOLOGY),-,23.463,26.659,25.418,26.033,27.073,25.253
3,1103158,KCA UNIVERSITY,BACHELOR OF SCIENCE (INFORMATION AND COMMUNICATION TECHNOLOGY),-,-,-,-,-,23.086,25.901
4,1176158,LAIKIPIA UNIVERSITY,BACHELOR OF SCIENCE (INFORMATION AND COMMUNICATION TECHNOLOGY),31.241,27.651,26.79,22.896,24.5,25.504,19.223
5,1229158,MASENO UNIVERSITY,BACHELOR OF SCIENCE (INFORMATION AND COMMUNICATION TECHNOLOGY),32.984,33.227,32.376,27.516,29.456,30.112,29.316
6,1063158,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF TECHNOLOGY IN INFORMATION & COMMUNICATION TECHNOLOGY,26.545,30.432,31.205,22.618,26.764,28.898,27.663
BACHELOR OF ARTS (PUBLIC ADMINISTRATION),,,,,,,,,,
1,1118159,UNIVERSITY OF KABIANGA,BACHELOR OF ARTS (PUBLIC ADMINISTRATION),23,25.977,-,25.212,24.448,27.717,26.447
2,1170159,MACHAKOS UNIVERSITY,BACHELOR OF ARTS (PUBLIC ADMINISTRATION),-,-,-,25.028,26.056,27.734,-
BACHELOR OF MUSIC,,,,,,,,,,
1,1111160,KENYATTA UNIVERSITY,BACHELOR OF MUSIC,28.975,26.198,-,27.056,27.889,27.706,24.804
2,1112160,TECHNICAL UNIVERSITY OF KENYA,BACHELOR OF MUSIC,23,27.532,30.252,25.859,26.426,26.233,23.07
3,1061160,KABARAK UNIVERSITY,BACHELOR OF MUSIC THEORY AND COMPOSITION,-,-,-,25.674,24.389,25.731,23.07
"BACHELOR OF ARTS (MUSIC, WITH IT)",,,,,,,,,,
1,1229161,MASENO UNIVERSITY,"BACHELOR OF ARTS (MUSIC, WITH IT)",23,26.735,31.698,24.438,25.262,23.64,23.07
2,1111161,KENYATTA UNIVERSITY,BACHELOR OF ARTS (MUSIC),-,-,-,-,-,-,-
3,1181161,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF ARTS (MUSIC),30.903,29.46,-,34.588,24.274,23.64,23.07
4,1253161,MOI UNIVERSITY,BACHELOR OF ARTS (MUSIC),23,26.248,29.087,25.808,23.992,-,-
BACHELOR OF EDUCATION (ARTS) MUSIC,,,,,,,,,,
1,1111162,KENYATTA UNIVERSITY,BACHELOR OF EDUCATION (ARTS) MUSIC,35.779,29.607,-,26.701,30.141,31.364,29.024
2,1229162,MASENO UNIVERSITY,"BACHELOR OF EDUCATION (MUSIC, WITH IT)",23,26.082,30.126,25.429,27.379,24.285,22.636
BACHELOR OF SCIENCE (STATISTICS),,,,,,,,,,
1,1057163,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (STATISTICS),41.716,36.832,34.585,35.055,35.325,31.844,28.937
2,1079163,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE (STATISTICS),33.792,24.132,24.585,24.567,24.339,20.048,20.1
3,1091163,TAITA TAVETA UNIVERSITY,BACHELOR OF SCIENCE (STATISTICS),30.31,24.713,-,23.103,23.194,20.048,20.1
4,1093163,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (STATISTICS),34.396,25.088,24.823,24.111,24.031,20.048,20.1
5,1166163,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (STATISTICS),35.796,25.969,24.796,23.811,23.44,20.048,20.1
6,1176163,LAIKIPIA UNIVERSITY,BACHELOR OF SCIENCE (STATISTICS),34.849,25.697,25.949,26.295,26.114,20.048,20.1
7,1263163,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (STATISTICS),43.135,40.806,35.919,37.62,38.715,37.062,37.6
8,1249163,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE IN STATISTICS,41.944,38.847,34.964,35.988,36.882,33.533,34.336
9,1279163,MOUNT KENYA UNIVERSITY,BACHELOR OF SCIENCE IN STATISTICS,30.04,25.205,25.081,28.426,30.623,24.881,28.859
10,1240163,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE STATISTICS,37.21,31.535,25.162,25.258,24.285,20.048,20.1
BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING),,,,,,,,,,
1,1096164,GARISSA UNIVERSITY,BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING),-,29.816,-,24.088,24.654,20.048,19.223
2,1600164,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING),-,25.202,-,25.163,24.033,20.048,19.223
3,1118164,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (APPLIED STATISTICS WITH COMPUTING),34.417,23.835,25.578,26.898,25.979,20.048,19.223
4,1165164,MAASAI MARA UNIVERSITY,BACHELOR OF SCIENCE (APPLIED STATISTICS WITH COMPUTING),37.229,25.373,25.53,27.25,26.593,20.048,19.223
5,1253164,MOI UNIVERSITY,BACHELOR OF SCIENCE (APPLIED STATISTICS WITH COMPUTING),41.347,34.763,34.159,34.054,34.498,28.472,19.223
6,1700164,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (APPLIED STATISTICS WITH COMPUTING),-,-,-,-,-,-,19.223
7,1246164,MURANGA UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE (APPLIED STATISTICS WITH PROGRAMMING),31.798,25.356,25.389,26.432,26.571,22.982,19.223
8,1114164,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN APPLIED STATISTICS WITH COMPUTING,37.654,30.036,30.71,31.924,31.945,23.001,19.223
9,1244164,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN APPLIED STATISTICS WITH COMPUTING,33.419,25.114,24.219,27.538,27.317,20.048,19.223
10,1111164,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (STATISTICS & PROGRAMMING),42.439,40.017,35.523,37.262,38.475,36.119,29.9
BACHELOR OF ARTS (PLANNING),,,,,,,,,,
1,1263165,UNIVERSITY OF NAIROBI,BACHELOR OF ARTS (PLANNING),42.026,35.488,33.392,28.517,30.555,30.574,25.655
"BACHELOR OF EDUCATION (FRENCH, WITH IT)",,,,,,,,,,
1,1229166,MASENO UNIVERSITY,"BACHELOR OF EDUCATION (FRENCH, WITH IT)",23,24.741,25.526,26.178,29.101,28.783,22.636
2,1515166,TOM MBOYA UNIVERSITY COLLEGE,"BACHELOR OF EDUCATION (FRENCH, WITH IT)",-,-,-,26.23,25.109,22.244,22.636
BACHELOR OF BUSINESS ADMINISTRATION AND MANAGEMENT,,,,,,,,,,
1,1425168,ZETECH UNIVERSITY,BACHELOR OF BUSINESS ADMINISTRATION AND MANAGEMENT,23,25.378,-,25.068,24.66,22.361,22.544
BACHELOR OF EDUCATION (ARTS) GERMAN,,,,,,,,,,
1,1111169,KENYATTA UNIVERSITY,BACHELOR OF EDUCATION (ARTS) GERMAN,23,26.156,-,28.168,29.086,30.241,25.516
BACHELOR OF SCIENCE (PHYSICS),,,,,,,,,,
1,1073366,RONGO UNIVERSITY,BACHELOR OF SCIENCE (PHYSICS),23,23.447,-,24.961,24.397,16.791,17.459
2,1087120,KISII UNIVERSITY,BACHELOR OF SCIENCE (PHYSICS),29.036,-,-,-,-,-,-
3,1093366,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (PHYSICS),23,23.76,-,-,-,-,-
4,1096366,GARISSA UNIVERSITY,BACHELOR OF SCIENCE (PHYSICS),23,-,-,23.85,-,-,-
5,1108366,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (PHYSICS),23,23.54,24.373,22.053,23.305,16.791,17.459
6,1117366,PWANI UNIVERSITY,BACHELOR OF SCIENCE (PHYSICS),23,25.32,27.55,24.32,22.706,16.791,17.459
7,1165366,MAASAI MARA UNIVERSITY,BACHELOR OF SCIENCE (PHYSICS),27.532,24.491,24.821,22.857,23.039,16.791,17.459
8,1166366,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (PHYSICS),23,23.856,-,24.034,24.822,-,-
9,1480366,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF SCIENCE (PHYSICS),28.75,-,-,25.283,23.839,16.791,17.459
10,1229170,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (PHYSICS, WITH IT)",-,-,26.553,28.288,27.709,22.415,17.459
11,1515170,TOM MBOYA UNIVERSITY COLLEGE,"BACHELOR OF SCIENCE (PHYSICS, WITH IT)",-,-,-,-,-,16.791,17.459
12,1105170,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN PHYSICS,-,-,-,24.441,24.277,23.239,17.459
13,1240170,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE IN PHYSICS,-,-,-,-,23.367,16.791,17.459
BACHELOR OF ARTS (COMMUNITY DEVELOPMENT),,,,,,,,,,
1,1078171,AFRICA NAZARENE UNIVERSITY,BACHELOR OF ARTS (COMMUNITY DEVELOPMENT),23,27.08,-,25.848,24.79,25.691,25.41
2,1087171,KISII UNIVERSITY,BACHELOR OF ARTS (COMMUNITY DEVELOPMENT),23,24.055,-,25.448,24.381,25.236,22.926
3,1165171,MAASAI MARA UNIVERSITY,BACHELOR OF ARTS (COMMUNITY DEVELOPMENT),23,25.42,25.942,24.995,23.504,24.434,22.926
4,1253171,MOI UNIVERSITY,BACHELOR OF ARTS (COMMUNITY DEVELOPMENT),29.63,27.536,25.259,24.185,25.707,26.973,22.926
5,1600171,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (COMMUNITY DEVELOPMENT),-,-,-,-,-,25.1,22.926
6,1096171,GARISSA UNIVERSITY,BACHELOR OF ARTS COMMUNITY DEVELOPMENT,23,27.581,-,25.021,25.129,22.21,22.926
7,1068171,PAN AFRICA CHRISTIAN UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,-,27.103,-,25.998,25.358,25.852,22.926
8,1088171,GRETSA UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,23,27.362,-,24.227,24.401,24.373,22.926
9,1090171,SCOTT CHRISTIAN UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,23,-,-,24.934,23.77,24.211,22.926
10,1107171,ST PAULS UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,23,26.777,-,-,24.388,23.919,22.926
11,1117171,PWANI UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,23,24.551,-,-,-,-,-
12,1162171,DAYSTAR UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,29.372,26.388,27.147,26.435,27.693,24.77,22.926
13,1244171,KARATINA UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,23,-,-,24.436,24.436,24.936,22.926
14,1279171,MOUNT KENYA UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,-,26.749,-,25.42,24.992,24.993,24.837
15,1495171,LUKENYA UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,-,-,-,24.977,24.258,24.468,22.926
16,1555171,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,BACHELOR OF ARTS IN COMMUNITY DEVELOPMENT,-,-,-,-,24.328,22.21,22.926
BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCE,,,,,,,,,,
1,1162172,DAYSTAR UNIVERSITY,BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCE,29.696,27.196,26.953,27.89,32.52,33.219,33.762
"BACHELOR OF TECHNOLOGY IN WATER, IRRIGATION AND ENVIRONMENTAL ENGINEERING",,,,,,,,,,
1,1079173,KIRINYAGA UNIVERSITY,"BACHELOR OF TECHNOLOGY IN WATER, IRRIGATION AND ENVIRONMENTAL ENGINEERING",-,-,-,27.382,25.816,16.9,16.787
"BACHELOR OF SCIENCE IN ENVIRONMENT, LANDS AND SUSTAINABLE INFRASTRUCTURE",,,,,,,,,,
1,1080174,CO-OPERATIVE UNIVERSITY OF KENYA,"BACHELOR OF SCIENCE IN ENVIRONMENT, LANDS AND SUSTAINABLE INFRASTRUCTURE",-,-,-,-,-,26.355,17.459
BACHELOR OF SCIENCE (AGROFORESTRY & RURAL DEVELOPMENT),,,,,,,,,,
1,1114175,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE (AGROFORESTRY & RURAL DEVELOPMENT),23,24.342,-,-,-,-,17.459
2,1118175,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (AGROFORESTRY & RURAL DEVELOPMENT),23,27.232,-,-,-,16.791,17.459
BACHELOR OF CONSTRUCTION MANAGEMENT,,,,,,,,,,
1,1249176,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF CONSTRUCTION MANAGEMENT,42.437,41.073,38.75,38.628,39.059,38.435,37.062
2,1263176,UNIVERSITY OF NAIROBI,BACHELOR OF CONSTRUCTION MANAGEMENT,43.381,40.077,37.023,37.746,39.199,39.072,36.098
BACHELOR OF BROADCAST JOURNALISM,,,,,,,,,,
1,1063177,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF BROADCAST JOURNALISM,31.102,31.614,26.841,28.513,29.56,30.694,30.694
2,1263177,UNIVERSITY OF NAIROBI,BACHELOR OF BROADCAST PRODUCTION,-,35.923,31.966,32.036,33.539,34.164,31.827
"BACHELOR OF ARTS (DRAMA AND THEATRE STUDIES, WITH IT)",,,,,,,,,,
1,1229179,MASENO UNIVERSITY,"BACHELOR OF ARTS (DRAMA AND THEATRE STUDIES, WITH IT)",33.22,28.565,25.52,23.929,27.147,27.182,22.926
2,1111179,KENYATTA UNIVERSITY,BACHELOR OF ARTS (THEATER ARTS & FILM TECHNOLOGY),38.854,34.267,32.727,31.067,33.986,33.193,30.322
3,1103179,KCA UNIVERSITY,BACHELOR OF ARTS PERFORMING ARTS AND FILM TECHNOLOGY,-,-,-,25.011,29.359,29.254,26.725
BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT),,,,,,,,,,
1,1077180,KENYA METHODIST UNIVERSITY,BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT),-,-,-,-,23.275,23.979,22.636
2,1087180,KISII UNIVERSITY,BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT),-,27.576,-,25.122,24.478,25.17,22.636
3,1176180,LAIKIPIA UNIVERSITY,BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT),23,24.048,-,24.33,24.603,24.046,22.636
4,1229180,MASENO UNIVERSITY,"BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION, WITH IT)",29.899,26.459,28.021,25.379,25.102,24.504,22.636
5,1515180,TOM MBOYA UNIVERSITY COLLEGE,"BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION, WITH IT)",-,-,-,24.914,25.455,23.677,22.636
6,1082180,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),23,26.009,-,24.784,25.086,23.358,22.636
7,1103180,KCA UNIVERSITY,BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),-,-,-,25.267,24.249,24.26,22.636
8,1108880,KIBABII UNIVERSITY,BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),23,25.094,25.581,25.04,24.427,24.655,22.636
9,1111180,KENYATTA UNIVERSITY,BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),30.182,27.02,-,24.636,27.183,24.738,24.737
10,1117180,PWANI UNIVERSITY,BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),23,25.996,-,25.04,24.56,24.658,22.636
11,1196180,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),-,-,-,24.435,24.594,25.914,22.636
12,1263180,UNIVERSITY OF NAIROBI,BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),28.868,24.38,24.433,24.034,24.487,24.124,22.636
13,1495180,LUKENYA UNIVERSITY,BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),-,-,-,25.186,24.999,24.686,22.636
14,3890180,KOITALEEL SAMOEI UNIVERSITY COLLEGE,BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),-,-,-,25.188,24.513,24.891,22.636
15,1162180,DAYSTAR UNIVERSITY,BACHELOR OF EDUCATION IN EARLY CHILDHOOD EDUCATION,-,31.445,-,-,-,-,-
16,1170180,MACHAKOS UNIVERSITY,BACHELOR OF EDUCATION IN EARLY CHILDHOOD EDUCATION,23,26.341,-,25.81,24.406,23.58,22.636
17,1470180,KAIMOSI FRIENDS UNIVERSITY COLLEGE,BACHELOR OF EDUCATION IN EARLY CHILDHOOD EDUCATION,-,-,-,-,-,-,22.636
18,1685180,THARAKA UNIVERSITY COLLEGE,BACHELOR OF EDUCATION IN EARLY CHILDHOOD EDUCATION,-,-,-,-,-,-,22.636
19,1053180,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF EDUCATION(EARLY CHILDHOOD DEVELOPMENT),23,25.439,-,-,24.182,24.318,22.636
20,1119180,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF EDUCATION(EARLY CHILDHOOD DEVELOPMENT),-,-,-,-,-,24.349,22.636
21,1570180,TURKANA UNIVERSITY COLLEGE,BACHELOR OF EDUCATION(EARLY CHILDHOOD DEVELOPMENT),-,-,-,24.539,25.018,21.039,-
BACHELOR OF JOURNALISM & MASS COMMUNICATION,,,,,,,,,,
1,1063181,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF JOURNALISM & MASS COMMUNICATION,36.16,31.424,31.554,30.517,32.533,32.945,32.703
2,1082181,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF JOURNALISM & MASS COMMUNICATION,36.622,31.587,29.923,29.275,30.977,31.371,29.253
3,1555181,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,BACHELOR OF JOURNALISM & MASS COMMUNICATION,-,27.075,-,-,-,-,-
4,1108181,KIBABII UNIVERSITY,BACHELOR OF JOURNALISM AND MASS COMMUNICATION,34.774,29.597,27.956,26.866,29.033,29.608,28.171
5,1263181,UNIVERSITY OF NAIROBI,BACHELOR OF JOURNALISM AND MASS COMMUNICATION,-,33.533,34.941,35.016,37.153,37.107,35.592
6,1105385,CHUKA UNIVERSITY,BACHELOR OF ARTS IN JOURNALISM AND MASS COMMUNICATION,32.21,26.283,25.949,28.98,30.536,31.751,30.471
7,1685181,THARAKA UNIVERSITY COLLEGE,BACHELOR OF ARTS IN JOURNALISM AND MASS COMMUNICATION,-,-,-,-,25.448,27.891,26.463
8,1253181,MOI UNIVERSITY,BACHELOR OF SCIENCE(JOURNALISM AND MEDIA STUDIES),-,-,-,-,29.482,-,-
BACHELOR OF COMMUNICATION & JOURNALISM,,,,,,,,,,
1,1165182,MAASAI MARA UNIVERSITY,BACHELOR OF COMMUNICATION & JOURNALISM,34.312,30.067,25.792,27.705,28.808,29.448,28.01
2,1240182,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF COMMUNICATION & JOURNALISM,-,-,-,-,26.369,29.547,29.808
3,1073182,RONGO UNIVERSITY,BACHELOR OF SCIENCE (COMMUNICATION & JOURNALISM),31.812,26.842,-,24.543,25.928,27.735,25.295
4,1077182,KENYA METHODIST UNIVERSITY,BACHELOR OF SCIENCE (COMMUNICATION AND JOURNALISM),-,-,24.61,27.045,28.541,29.352,27.554
5,1253182,MOI UNIVERSITY,BACHELOR OF SCIENCE (COMMUNICATION AND JOURNALISM),39.119,34.4,29.588,30.884,-,-,-
6,1060183,RIARA UNIVERSITY,BACHELOR OF COMMUNICATION AND MULTIMEDIA JOURNALISM,23,31.185,31.341,33.444,32.845,32.777,30.666
BACHELOR OF JOURNALISM,,,,,,,,,,
1,1164183,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF JOURNALISM,40.204,35.905,33.992,33.136,35.003,35.637,32.665
2,1249183,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF JOURNALISM,39.913,36.303,32.244,32.234,33.371,33.969,32.312
3,1425183,ZETECH UNIVERSITY,BACHELOR OF JOURNALISM,-,-,-,-,-,-,24.57
BACHELOR OF SCIENCE (MANAGEMENT OF AGRO-ECOSYSTEM AND ENVIRONMENT),,,,,,,,,,
1,1093184,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (MANAGEMENT OF AGRO-ECOSYSTEM AND ENVIRONMENT),23,23.837,-,-,-,16.791,17.459
2,1263184,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (MANAGEMENT OF AGRO-ECOSYSTEM AND ENVIRONMENT),28.536,22.885,33.416,27.211,29.109,16.791,-
3,1166184,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE IN MANAGEMENT OF AGRI. ECOSYSTEMS,-,-,-,-,-,16.791,-
BACHELOR OF SCIENCE (HORTICULTURAL SCIENCE & MANAGEMENT),,,,,,,,,,
1,1117185,PWANI UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURAL SCIENCE & MANAGEMENT),23,21.735,-,29.016,24.964,16.791,-
2,1229185,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (HORTICULTURE, WITH IT)",29.664,21.325,29.994,27.187,27.921,16.791,17.459
3,1515185,TOM MBOYA UNIVERSITY COLLEGE,"BACHELOR OF SCIENCE (HORTICULTURE, WITH IT)",23,24.526,-,25.359,24.648,16.791,17.459
4,1057185,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),33.082,23.492,26.853,25.119,26.874,16.791,17.459
